FN	FACID	FASAT	FAMS	FAPU	FAPUN3	FAPUN6	F4D0	F6D0	F7D0	F8D0	F10D0	F12D0	F13D0	F14D0	F15D0	F15D0AI	F16D0	F16D0I	F17D0	F17D0AI	F18D0	F20D0	F22D0	F24D0	F10D1	F14D1	F15D1	F16D1	F17D1	F18D1	F18D1CN9	F18D1CN7	F20D1	F22D1	F24D1	F16D2	F16D3	F16D4	F18D2N6	F18D3N3	F18D3N6	F18D4N3	F20D2N6	F20D3N3	F20D3N6	F20D4N3	F20D4N6	F20D5N3	F21D5N3	F22D2	F22D4N6	F22D5N3	F22D5N6	F22D6N3	FAUN	NoticeFA		
06080	0.10	0.03	0.01	0.07	0.04	0.02	-	-	-	-	0	0	-	Tr	Tr	-	23	-	Tr	-	3	1	Tr	2	0	0	0	2	0	3	-	-	1	1	Tr	0	0	0	20	45	0	0	0	-	0	0	0	0	0	0	0	0	0	0	-	別名： 葉キャベツ、はごろもかんらん<br>廃棄部位： 葉柄基部		
06084	(0.08)	(0.02)	(0.02)	(0.04)	(Tr)	(0.04)	(0)	(0)	-	(0)	(0)	(0)	-	(0)	-	-	(17)	-	-	-	(0)	-	-	-	-	-	-	(0)	-	(25)	-	-	(0)	(0)	-	-	-	-	(37)	(1)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	廃棄部位： 皮、葉柄基部及び先端<br>米国成分表から推計		
06085	(0.16)	(0.03)	(0.05)	(0.08)	(Tr)	(0.07)	(0)	(0)	-	(0)	(0)	(0)	-	(0)	-	-	(33)	-	-	-	(0)	-	-	-	-	-	-	(0)	-	(50)	-	-	(0)	(0)	-	-	-	-	(74)	(3)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	皮、葉柄基部及び先端を除いたもの<br>米国成分表から推計		
06086	0.10	0.02	Tr	0.08	0.06	0.01	-	-	-	-	0	0	-	Tr	Tr	-	15	-	0	-	2	Tr	Tr	-	-	0	-	1	0	3	-	-	Tr	Tr	-	-	12	-	8	56	-	-	Tr	-	0	-	0	0	-	-	-	-	-	-	2	廃棄部位： 株元		
06087	(0.05)	(0.01)	(Tr)	(0.04)	(0.03)	(Tr)	-	-	-	-	(0)	(0)	-	(Tr)	(0)	-	(7)	-	(0)	-	(1)	(Tr)	(Tr)	-	-	(0)	-	(1)	(0)	(1)	-	-	(0)	(Tr)	-	-	(6)	-	(4)	(28)	-	-	(Tr)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの<br>06086こまつな生から推計		
06089	(0.08)	(0.02)	(0.01)	(0.05)	(0.05)	(0.01)	-	-	-	-	(0)	(0)	-	(Tr)	(Tr)	-	(16)	-	(Tr)	-	(2)	(Tr)	(Tr)	-	-	(0)	-	(1)	(0)	(8)	-	-	(Tr)	(Tr)	-	-	(1)	-	(5)	(48)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(3)	別名： さんとうな、べが菜<br>廃棄部位： 根及び株元<br>06233はくさい生から推計		
06090	(0.12)	(0.03)	(0.01)	(0.08)	(0.07)	(0.01)	-	-	-	-	(0)	(Tr)	-	(Tr)	(Tr)	-	(24)	-	(Tr)	-	(2)	(1)	(1)	-	-	(0)	-	(1)	(0)	(12)	-	-	(Tr)	(Tr)	-	-	(2)	-	(8)	(72)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(4)	別名： さんとうな、べが菜<br>根を除いたもの<br>ゆでた後水冷し、手搾りしたもの<br>廃棄部位： 株元<br>06233はくさい生から推計		
06091	(0.12)	(0.03)	(0.01)	(0.08)	(0.07)	(0.01)	-	-	-	-	(0)	(Tr)	-	(Tr)	(Tr)	-	(24)	-	(Tr)	-	(2)	(1)	(1)	-	-	(0)	-	(1)	(0)	(12)	-	-	(Tr)	(Tr)	-	-	(2)	-	(8)	(72)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(4)	別名： さんとうな<br>廃棄部位： 株元<br>水洗いし、手搾りしたもの<br>06233はくさい生から推計		
06093	(0.11)	(0.03)	(Tr)	(0.07)	(0.02)	(0.05)	-	-	-	-	(0)	(0)	-	(Tr)	(Tr)	-	(25)	-	(Tr)	-	(6)	(2)	(0)	-	-	(0)	-	(1)	(0)	(3)	-	-	(0)	(0)	-	-	(0)	-	(51)	(16)	-	-	(0)	(0)	(Tr)	-	(0)	(1)	-	-	-	-	-	-	(3)	別名： ししとうがらし<br>廃棄部位： へた<br>06245青ピーマン生から推計		
06094	(2.81)	(0.24)	(1.75)	(0.82)	(0.23)	(0.59)	(0)	(0)	(0)	(0)	(0)	(2)	-	(3)	(Tr)	(0)	(140)	-	(Tr)	-	(61)	(19)	(8)	(4)	(0)	(0)	(0)	(6)	(0)	(1700)	-	-	(33)	(4)	(4)	(0)	(0)	(0)	(590)	(230)	(0)	(0)	(0)	(0)	(Tr)	(0)	(0)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(3)	別名： ししとうがらし<br>へたを除いたもの<br>植物油（なたね油）<br>06093ししとう生の推計値と油（なたね油）の付着量から推計		
06095	0.03	0.01	Tr	0.01	0.01	0.01	-	-	-	-	0	Tr	-	Tr	0	-	9	-	0	-	1	Tr	0	0	0	0	0	2	1	1	1	Tr	0	Tr	0	0	0	0	5	10	0	0	0	-	0	0	0	0	0	0	0	0	0	0	-	別名 ： 大葉<br>試料： 青じそ		
06096	0.07	0.01	0.01	0.05	0.03	0.01	-	-	-	-	0	Tr	-	0	0	-	8	-	Tr	-	2	1	Tr	Tr	0	0	0	Tr	Tr	8	7	1	Tr	0	0	0	0	0	11	34	0	0	Tr	-	0	0	0	0	0	0	0	0	0	0	-	試料： 青じそ		
06099	0.13	0.02	0.01	0.10	0.07	0.03	-	-	-	-	0	0	-	Tr	Tr	-	19	-	Tr	-	1	1	1	-	-	0	-	2	Tr	1	-	-	2	0	-	-	0	-	27	75	-	-	0	-	0	-	0	0	-	-	-	-	-	-	Tr	別名： きくな<br>廃棄部位： 基部 		
06100	(0.22)	(0.04)	(0.01)	(0.17)	(0.12)	(0.05)	-	-	-	-	(0)	(0)	-	(1)	(Tr)	-	(32)	-	(Tr)	-	(2)	(1)	(1)	-	-	(0)	-	(4)	(1)	(2)	-	-	(4)	(0)	-	-	(0)	-	(46)	(120)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	別名： きくな<br>ゆでた後水冷し、手搾りしたもの<br>06099しゅんぎく生から推計		
06102	(0.14)	(0.05)	(0.04)	(0.04)	(0.01)	(0.03)	(0)	(0)	-	(2)	(0)	(10)	-	(5)	-	-	(32)	-	-	-	(5)	-	-	-	-	-	-	(6)	-	(32)	-	-	(2)	(0)	-	-	-	-	(32)	(9)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名： 盆しょうが、はじかみ<br>廃棄部位： 葉及び茎<br>米国成分表から推計		
06103	(0.20)	(0.08)	(0.06)	(0.06)	(0.01)	(0.05)	(0)	(0)	-	(3)	(0)	(16)	-	(7)	-	-	(48)	-	-	-	(7)	-	-	-	-	-	-	(8)	-	(48)	-	-	(3)	(0)	-	-	-	-	(48)	(14)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名：ひねしょうが<br>廃棄部位： 皮<br>米国成分表から推計		
06104	(0.14)	(0.06)	(0.04)	(0.04)	(0.01)	(0.03)	(0)	(0)	-	(2)	(0)	(11)	-	(5)	-	-	(33)	-	-	-	(5)	-	-	-	-	-	-	(6)	-	(33)	-	-	(2)	(0)	-	-	-	-	(33)	(9)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名：紅しょうが<br>原材料： ひねしょうが<br>液汁を除いたもの<br>米国成分表から推計		
06105	(0.26)	(0.10)	(0.08)	(0.08)	(0.02)	(0.06)	(0)	(0)	-	(3)	(0)	(19)	-	(9)	-	-	(60)	-	-	-	(8)	-	-	-	-	-	-	(10)	-	(59)	-	-	(3)	(0)	-	-	-	-	(60)	(17)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名： ガリ<br>原材料：ひねしょうが<br>液汁を除いたもの<br>米国成分表から推計		
06106	(0.02)	(0.01)	(Tr)	(0.01)	(0.01)	(Tr)	-	-	-	-	(0)	(0)	-	(Tr)	(Tr)	-	(10)	-	(0)	-	(1)	(0)	(Tr)	-	-	(0)	-	(Tr)	(0)	(1)	-	-	(Tr)	(0)	-	-	(0)	-	(4)	(8)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(Tr)	別名： あさうり、つけうり<br>廃棄部位： わた及び両端<br>06065きゅうり生から推計		
06107	(0.02)	(0.01)	(Tr)	(0.01)	(0.01)	(Tr)	-	-	-	-	(0)	(0)	-	(Tr)	(Tr)	-	(10)	-	(0)	-	(1)	(0)	(Tr)	-	-	(0)	-	(Tr)	(0)	(1)	-	-	(Tr)	(0)	-	-	(0)	-	(4)	(8)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(Tr)	別名： あさうり、つけうり<br>廃棄部位： 両端<br>水洗いし、手搾りしたもの<br>06065きゅうり生から推計		
06111	(0.28)	(0.08)	(0.03)	(0.17)	(0.05)	(0.12)	(0)	(0)	-	(0)	(0)	(0)	-	(0)	-	-	(71)	-	-	-	(11)	-	-	-	-	-	-	(0)	-	(32)	-	-	(0)	(0)	-	-	-	-	(120)	(50)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名： いもがら<br>米国成分表から推計		
06113	(0.14)	(0.05)	(0.01)	(0.08)	(0.06)	(0.02)	(0)	(0)	-	(1)	(1)	(1)	-	(2)	-	-	(36)	-	-	-	(7)	-	-	-	-	-	-	(9)	-	(3)	-	-	(0)	(0)	-	-	-	-	(24)	(56)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名： かもな<br>廃棄部位： 葉柄基部<br>米国成分表から推計		
06114	(0.07)	(0.01)	(0.01)	(0.05)	(0.04)	(0.01)	(0)	(0)	-	(0)	(0)	(0)	-	(0)	-	-	(10)	-	-	-	(1)	-	-	-	-	-	-	(1)	-	(6)	-	-	(0)	(0)	-	-	-	-	(12)	(40)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名： かもな<br>廃棄部位： 根端及び葉柄基部<br>米国成分表から推計		
06115	(0.49)	(0.08)	(0.04)	(0.37)	(0.28)	(0.08)	(0)	(0)	-	(0)	(0)	(0)	-	(0)	-	-	(70)	-	-	-	(7)	-	-	-	-	-	-	(7)	-	(42)	-	-	(0)	(0)	-	-	-	-	(84)	(280)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	水洗いし、手搾りしたもの<br>米国成分表から推計		
06116	(0.06)	(0.03)	(Tr)	(0.03)	(0.02)	(0.01)	(0)	(0)	-	(0)	(5)	(1)	-	(Tr)	(Tr)	-	(15)	-	(1)	-	(2)	(Tr)	(1)	(1)	-	(1)	(0)	(1)	(0)	(2)	-	-	(0)	(0)	(0)	-	-	-	(9)	(19)	(0)	(0)	(0)	(0)	(0)	-	(0)	(0)	-	-	(0)	(0)	-	(0)	-	別名： つるなしかぼちゃ<br>廃棄部位： 両端<br>米国成分表から推計		
06117	(0.05)	(0.02)	(Tr)	(0.03)	(Tr)	(0.03)	-	-	-	-	(0)	(0)	-	(Tr)	(1)	-	(13)	-	(Tr)	-	(1)	(0)	(1)	-	-	(0)	-	(Tr)	(0)	(1)	-	-	(Tr)	(Tr)	-	-	(1)	-	(28)	(5)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	別名： かわな<br>廃棄部位： 根及び株元<br>06119セロリ生から推計		
06118	(0.05)	(0.02)	(Tr)	(0.03)	(Tr)	(0.03)	-	-	-	-	(0)	(0)	-	(Tr)	(1)	-	(13)	-	(Tr)	-	(1)	(0)	(1)	-	-	(0)	-	(Tr)	(0)	(1)	-	-	(Tr)	(Tr)	-	-	(1)	-	(28)	(5)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	別名： かわな<br>根を除いたもの<br>廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの<br>06119セロリ生から推計		
06119	0.05	0.02	Tr	0.03	Tr	0.03	-	-	-	-	0	0	-	Tr	1	-	13	-	Tr	-	1	0	1	-	-	0	-	Tr	0	1	-	-	Tr	Tr	-	-	1	-	28	5	-	-	0	-	0	-	0	0	-	-	-	-	-	-	1	別名： セロリー、セルリー、オランダみつば<br>廃棄部位： 株元、葉身及び表皮		
06124	0.09	0.03	0.01	0.05	Tr	0.05	-	-	-	-	0	0	-	Tr	Tr	-	21	-	Tr	-	2	1	2	-	-	0	-	0	0	11	-	-	1	1	-	-	0	-	48	4	-	-	Tr	-	0	-	0	0	-	-	-	-	-	-	Tr	廃棄部位： 種皮		
06125	(0.09)	(0.03)	(0.01)	(0.05)	(Tr)	(0.05)	-	-	-	-	(0)	(0)	-	(Tr)	(Tr)	-	(21)	-	(Tr)	-	(2)	(1)	(2)	-	-	(0)	-	(0)	(0)	(11)	-	-	(1)	(1)	-	-	(0)	-	(48)	(4)	-	-	(Tr)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(Tr)	廃棄部位： 種皮<br>06124そらまめ生から推計		
06126	(0.10)	(0.02)	(Tr)	(0.08)	(0.06)	(0.01)	-	-	-	-	(0)	(0)	-	(Tr)	(Tr)	-	(15)	-	(0)	-	(2)	(Tr)	(Tr)	-	-	(0)	-	(1)	(0)	(3)	-	-	(Tr)	(Tr)	-	-	(12)	-	(8)	(56)	-	-	(Tr)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	-	別名： ひさごな、ゆきな、タァサイ、ターサイ、ターツァイ、きさらぎな<br>廃棄部位： 株元<br>06086こまつな葉生から推計		
06127	(0.10)	(0.02)	(Tr)	(0.08)	(0.06)	(0.01)	-	-	-	-	(0)	(0)	-	(Tr)	(Tr)	-	(15)	-	(0)	-	(2)	(Tr)	(Tr)	-	-	(0)	-	(1)	(0)	(3)	-	-	(Tr)	(Tr)	-	-	(12)	-	(8)	(56)	-	-	(Tr)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	-	別名： ひさごな、ゆきな、タァサイ、ターサイ、ターツァイ、きさらぎな<br>廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの<br>06086こまつな葉生から推計		
06128	(0.21)	(0.05)	(0.02)	(0.15)	(0.11)	(0.02)	-	-	-	-	(0)	(0)	-	(1)	(Tr)	-	(38)	-	(Tr)	-	(5)	(2)	(Tr)	-	-	(0)	-	(4)	(0)	(8)	-	-	(3)	(0)	-	-	(25)	-	(16)	(110)	-	-	(1)	(0)	(0)	-	(1)	(0)	-	-	-	-	-	-	-	別名： かいわれ<br>茎基部約1 cmを除去したもの<br>06130だいこん葉生から推計		
06129	(0.09)	(0.02)	(0.01)	(0.06)	(0.04)	(0.01)	-	-	-	-	(0)	(0)	-	(Tr)	(0)	-	(15)	-	(Tr)	-	(2)	(1)	(Tr)	-	-	(0)	-	(2)	(0)	(3)	-	-	(1)	(0)	-	-	(10)	-	(6)	(44)	-	-	(Tr)	(0)	(0)	-	(Tr)	(0)	-	-	-	-	-	-	-	試料： 水耕栽培品<br>廃棄部位： 株元及び根<br>06130だいこん葉生から推計		
06130	0.04	0.01	Tr	0.03	0.02	Tr	-	-	-	-	0	0	-	Tr	0	-	8	-	0	-	1	Tr	0	-	-	0	-	1	0	2	-	-	1	0	-	-	5	-	3	22	-	-	Tr	-	0	-	Tr	0	-	-	-	-	-	-	0	廃棄部位： 葉柄基部		
06131	(0.04)	(0.01)	(Tr)	(0.03)	(0.02)	(Tr)	-	-	-	-	(0)	(0)	-	(Tr)	(0)	-	(8)	-	(0)	-	(1)	(Tr)	(0)	-	-	(0)	-	(1)	(0)	(2)	-	-	(1)	(0)	-	-	(5)	-	(3)	(22)	-	-	(Tr)	(0)	(0)	-	(Tr)	(0)	-	-	-	-	-	-	(0)	葉柄基部を除いたもの<br>ゆでた後水冷し、手搾りしたもの<br>06130だいこん葉生から推計		
06132	0.04	0.01	Tr	0.02	0.02	0.01	-	-	-	-	0	0	-	0	0	-	11	-	Tr	-	1	Tr	Tr	-	-	0	-	Tr	0	3	-	-	Tr	0	-	-	0	0	6	18	-	-	0	-	0	-	0	0	-	-	-	-	-	-	0	廃棄部位： 根端及び葉柄基部		
06134	(0.04)	(0.01)	(Tr)	(0.02)	(0.02)	(0.01)	-	-	-	-	(0)	(0)	-	(0)	(0)	-	(11)	-	(Tr)	-	(1)	(Tr)	(Tr)	-	-	(0)	-	(Tr)	(0)	(3)	-	-	(Tr)	(0)	-	-	(0)	-	(6)	(18)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(0)	廃棄部位： 根端、葉柄基部及び皮<br>06132だいこん根皮つき生から推計		
06135	(0.04)	(0.01)	(Tr)	(0.02)	(0.02)	(0.01)	-	-	-	-	(0)	(0)	-	(0)	(0)	-	(11)	-	(Tr)	-	(1)	(Tr)	(Tr)	-	-	(0)	-	(Tr)	(0)	(3)	-	-	(Tr)	(0)	-	-	(0)	-	(6)	(18)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(0)	根端、葉柄基部及び皮を除いたもの<br>06132だいこん根皮つき生から推計		
06136	(0.32)	(0.10)	(0.03)	(0.19)	(0.14)	(0.04)	-	-	-	-	(0)	(0)	-	(1)	(1)	-	(86)	-	(1)	-	(6)	(2)	(4)	-	-	(0)	-	(3)	(0)	(26)	-	-	(2)	(0)	-	-	(0)	-	(44)	(140)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	06132だいこん根皮つき生から推計		
06334	(0.05)	(0.01)	(Tr)	(0.03)	(0.02)	(0.01)	-	-	-	-	(0)	(0)	-	(0)	(0)	-	(12)	-	(Tr)	-	(1)	(Tr)	(1)	-	-	(0)	-	(Tr)	(0)	(4)	-	-	(Tr)	(0)	-	-	(0)	-	(6)	(21)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(Tr)	水もどし後、ゆでた後湯切りしたもの<br>06132だいこん根皮つき生から推計		
06335	(5.48)	(0.44)	(3.48)	(1.56)	(0.48)	(1.09)	(0)	(0)	(0)	(0)	(0)	(4)	-	(5)	(Tr)	(0)	(260)	-	(Tr)	-	(110)	(34)	(18)	(9)	(0)	(0)	(0)	(12)	(0)	(3400)	-	-	(66)	(8)	(9)	(0)	(0)	(0)	(1100)	(480)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	水もどし後、油いため<br>植物油（なたね油）<br>01036切干しだいこん乾の推計値と油（なたね油）の付着量から推計		
06144	0.12	0.03	0.01	0.08	0.06	0.01	-	-	-	-	0	Tr	-	1	Tr	-	20	-	Tr	-	3	1	1	2	0	Tr	0	1	0	6	-	-	Tr	1	1	0	16	0	12	56	0	0	Tr	-	0	0	0	0	0	0	0	0	0	0	-	試料： 若採りせっぱくたいさい（雪白体菜）		
06145	(0.04)	(0.01)	(Tr)	(0.03)	(0.02)	(Tr)	-	-	-	-	(0)	(0)	-	(Tr)	(0)	-	(7)	-	(0)	-	(1)	(Tr)	(Tr)	(1)	(0)	(0)	(0)	(Tr)	(0)	(2)	-	-	(0)	(Tr)	(Tr)	(0)	(5)	(0)	(4)	(19)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	別名： しゃくしな<br>06144つまみな生から推計		
06146	(0.04)	(0.01)	(Tr)	(0.03)	(0.02)	(Tr)	-	-	-	-	(0)	(0)	-	(Tr)	(0)	-	(7)	-	(0)	-	(1)	(Tr)	(Tr)	(1)	(0)	(0)	(0)	(Tr)	(0)	(2)	-	-	(0)	(Tr)	(Tr)	(0)	(5)	(0)	(4)	(19)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	別名： しゃくしな<br>水洗いし、手搾りしたもの<br>06144つまみな生から推計		
06149	(0.14)	(0.05)	(Tr)	(0.09)	(0.01)	(0.08)	(0)	(0)	-	(0)	(0)	(1)	-	(1)	-	-	(34)	-	-	-	(4)	-	-	-	-	-	-	(0)	-	(5)	-	-	(0)	(0)	-	-	-	-	(76)	(13)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	廃棄部位： 竹皮及び基部<br>米国成分表から推計		
06150	(0.14)	(0.05)	(Tr)	(0.09)	(0.01)	(0.08)	-	-	-	-	-	(1)	-	(2)	-	-	(35)	-	-	-	(4)	-	-	-	-	-	-	-	-	(5)	-	-	-	-	-	-	-	-	(75)	(14)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	竹皮及び基部を除いたもの<br>米国成分表から推計		
06151	(0.14)	(0.05)	(Tr)	(0.09)	(0.01)	(0.08)	(0)	(0)	-	(0)	(0)	(2)	-	(2)	-	-	(35)	-	-	-	(4)	-	-	-	-	-	-	(0)	-	(5)	-	-	(0)	(0)	-	-	-	-	(76)	(14)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	液汁を除いたもの<br>米国成分表から推計		
06152	(0.35)	(0.12)	(0.01)	(0.22)	(0.03)	(0.19)	(0)	(0)	-	(0)	(0)	(3)	-	(3)	-	-	(85)	-	-	-	(10)	-	-	-	-	-	-	(0)	-	(12)	-	-	(0)	(0)	-	-	-	-	(190)	(33)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	別名： しなちく<br>米国成分表から推計		
06153	0.04	0.01	Tr	0.02	Tr	0.02	-	-	-	-	0	0	-	0	0	-	8	-	0	-	Tr	Tr	1	-	-	0	-	Tr	Tr	3	-	-	Tr	0	-	-	0	-	23	1	-	-	0	-	0	-	0	0	-	-	-	-	-	-	1	廃棄部位： 皮（保護葉）、底盤部及び頭部		
06154	(0.04)	(0.01)	(Tr)	(0.03)	(Tr)	(0.02)	-	-	-	-	(0)	(0)	-	(0)	(0)	-	(8)	-	(0)	-	(Tr)	(Tr)	(1)	-	-	(0)	-	(Tr)	(Tr)	(3)	-	-	(Tr)	(0)	-	-	(0)	-	(24)	(1)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	皮（保護葉）、底盤部及び頭部を除いたもの<br>06153たまねぎりん茎生から推計		
06155	(0.04)	(0.01)	(Tr)	(0.03)	(Tr)	(0.02)	-	-	-	-	(0)	(0)	-	(0)	(0)	-	(8)	-	(0)	-	(Tr)	(Tr)	(1)	-	-	(0)	-	(Tr)	(Tr)	(3)	-	-	(Tr)	(0)	-	-	(0)	-	(24)	(1)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	皮（保護葉）、底盤部及び頭部を除いたもの<br>06153たまねぎりん茎生から推計		
06336	(5.46)	(0.42)	(3.48)	(1.55)	(0.44)	(1.11)	(0)	(0)	(0)	(0)	(0)	(4)	-	(5)	(0)	(0)	(240)	-	(Tr)	-	(110)	(34)	(18)	(9)	(0)	(0)	(0)	(12)	(Tr)	(3400)	-	-	(66)	(8)	(9)	(0)	(0)	(0)	(1100)	(440)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	皮（保護葉）、底盤部及び頭部を除いたもの<br>植物油（なたね油）： 5.8 g<br>06153たまねぎりん茎生と油（なたね油）の付着量から推計		
06156	(0.04)	(0.01)	(Tr)	(0.03)	(Tr)	(0.02)	-	-	-	-	(0)	(0)	-	(0)	(0)	-	(8)	-	(0)	-	(Tr)	(Tr)	(1)	-	-	(0)	-	(Tr)	(Tr)	(3)	-	-	(Tr)	(0)	-	-	(0)	-	(24)	(1)	-	-	(0)	(0)	(0)	-	(0)	(0)	-	-	-	-	-	-	(1)	別名： レッドオニオン、紫たまねぎ<br>廃棄部位： 皮（保護葉）、底盤部及び頭部<br>06153たまねぎりん茎生から推計		
06160	(0.07)	(0.01)	(0.01)	(0.05)	(0.03)	(0.02)	(0)	(0)	-	(0)	(0)	(1)	-	(1)	-	-	(12)	-	-	-	(1)	-	-	-	-	-	-	(0)	-	(8)	-	-	(0)	(0)	-	-	-	-	(21)	(28)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	廃棄部位： しん<br>米国成分表から推計		
06161	(0.07)	(0.01)	(0.01)	(0.05)	(0.03)	(0.02)	(0)	(0)	-	(0)	(0)	(1)	-	(1)	-	-	(12)	-	-	-	(1)	-	-	-	-	-	-	(0)	-	(8)	-	-	(0)	(0)	-	-	-	-	(21)	(28)	-	(0)	-	-	-	-	(0)	(0)	-	-	-	(0)	-	(0)	-	廃棄部位： しん<br>ゆでた後水冷し、手搾りしたもの<br>米国成分表から推計		
06338	(2.98)	(0.24)	(1.88)	(0.87)	(0.27)	(0.60)	(0)	(0)	(0)	(0)	(0)	(3)	-	(3)	(0)	(0)	(140)	-	(0)	-	(59)	(18)	(9)	(5)	(0)	(0)	(0)	(6)	(0)	(1800)	-	-	(35)	(4)	(5)	(0)	(0)	(0)	(600)	(270)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	-	しんを除いたもの<br>植物油（なたね油）<br>06160チンゲンサイ生の推計値と油（なたね油）の付着量から推計		
06169	(0.04)	(0.01)	(Tr)	(0.02)	(0.01)	(0.02)	-	-	-	-	(0)	(0)	-	(Tr)	(0)	-	(8)	-	(Tr)	-	(2)	(1)	(0)	-	-	(0)	-	(Tr)	(0)	(1)	-	-	(0)	(0)	-	-	(0)	-	(17)	(5)	-	-	(0)	(0)	(0)	-	(0)	(Tr)	-	-	-	-	-	-	(1)	別名： なんばん、葉とうがらし<br>試料： 辛味種 <br>廃棄部位： 硬い茎及びへた<br>重量比： 葉6、実4<br>06245青ピーマン生から推計		
06170	(4.51)	(0.35)	(2.89)	(1.28)	(0.37)	(0.91)	(0)	(0)	(0)	(0)	(0)	(3)	-	(4)	(0)	(0)	(200)	-	(Tr)	-	(92)	(29)	(14)	(7)	(0)	(0)	(0)	(10)	(0)	(2800)	-	-	(54)	(7)	(7)	(0)	(0)	(0)	(910)	(370)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0)	-	別名： なんばん、葉とうがらし<br>試料： 辛味種 <br>硬い茎及びへたを除いたもの<br>植物油（調合油）<br>06169とうがらし葉・果実生の推計値と油（なたね油）の付着量から推計		
06171	(1.20)	(0.39)	(0.04)	(0.77)	(0.19)	(0.58)	-	-	-	-	(0)	(1)	-	(5)	(2)	-	(280)	-	(4)	-	(71)	(21)	(0)	-	-	(Tr)	-	(7)	(0)	(31)	-	-	(0)	(0)	-	-	(0)	-	(580)	(180)	-	-	(1)	(0)	(1)	-	(0)	(14)	-	-	-	-	-	-	(33)	別名： なんばん<br>試料： 辛味種 <br>廃棄部位： へた<br>06245青ピーマン生から推計		
06172	(4.22)	(1.37)	(0.14)	(2.72)	(0.68)	(2.04)	-	-	-	-	(0)	(4)	-	(17)	(6)	-	(1000)	-	(15)	-	(250)	(73)	(0)	-	-	(1)	-	(24)	(0)	(110)	-	-	(0)	(0)	-	-	(0)	-	(2000)	(630)	-	-	(3)	(0)	(5)	-	(0)	(50)	-	-	-	-	-	-	(120)	別名： なんばん、赤とうがらし、たかのつめ<br>試料： 辛味種 <br>へたを除いたもの<br>06245青ピーマン生から推計		
