FN	FACID	FASAT	FAMS	FAPU	FAPUN3	FAPUN6	F4D0	F6D0	F7D0	F8D0	F10D0	F12D0	F13D0	F14D0	F15D0	F15D0AI	F16D0	F16D0I	F17D0	F17D0AI	F18D0	F20D0	F22D0	F24D0	F10D1	F14D1	F15D1	F16D1	F17D1	F18D1	F18D1CN9	F18D1CN7	F20D1	F22D1	F24D1	F16D2	F16D3	F16D4	F18D2N6	F18D3N3	F18D3N6	F18D4N3	F20D2N6	F20D3N3	F20D3N6	F20D4N3	F20D4N6	F20D5N3	F21D5N3	F22D2	F22D4N6	F22D5N3	F22D5N6	F22D6N3	FAUN	NoticeFA		
01014	2.37	0.54	0.34	1.49	0.10	1.39	-	-	-	-	Tr	Tr	-	5	3	-	500	-	4	-	26	3	0	0	0	0	0	1	0	330	-	-	14	0	0	0	0	0	1400	98	0	0	0	-	0	0	0	0	0	0	0	0	0	0	1			
01015	1.23	0.34	0.13	0.75	0.04	0.72	-	-	-	-	0	Tr	-	2	1	-	320	-	2	-	15	1	0	0	0	0	0	0	Tr	130	-	-	5	0	0	0	0	0	720	38	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Tr			
01016	(1.56)	(0.43)	(0.17)	(0.96)	(0.05)	(0.91)	-	-	-	-	(0)	(Tr)	-	(3)	(2)	-	(410)	-	(2)	-	(19)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(160)	-	-	(6)	(0)	(0)	(0)	(0)	(0)	(910)	(49)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01015薄力粉1等から推計		
01018	1.29	0.36	0.14	0.80	0.04	0.75	-	-	-	-	0	Tr	-	2	1	-	340	-	2	-	16	1	0	0	0	0	0	0	Tr	130	-	-	5	0	0	0	0	0	750	41	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Tr			
01019	(1.48)	(0.41)	(0.16)	(0.91)	(0.05)	(0.86)	-	-	-	-	(0)	(Tr)	-	(2)	(2)	-	(390)	-	(2)	-	(18)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(150)	-	-	(6)	(0)	(0)	(0)	(0)	(0)	(860)	(46)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01018中力粉1等から推計		
01020	1.26	0.35	0.14	0.77	0.04	0.73	-	-	-	-	0	Tr	-	2	1	-	330	-	2	-	15	1	0	0	0	0	0	0	Tr	130	-	-	5	0	0	0	0	0	730	39	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Tr			
01021	(1.42)	(0.39)	(0.15)	(0.87)	(0.04)	(0.83)	-	-	-	-	(0)	(Tr)	-	(2)	(2)	-	(370)	-	(2)	-	(17)	(1)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	(150)	-	-	(5)	(0)	(0)	(0)	(0)	(0)	(830)	(44)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(Tr)	01020強力粉1等から推計		
01023	(2.29)	(0.53)	(0.33)	(1.44)	(0.09)	(1.34)	-	-	-	-	(Tr)	(Tr)	-	(5)	(3)	-	(480)	-	(4)	-	(25)	(3)	(0)	(0)	(0)	(0)	(0)	(1)	(0)	(320)	-	-	(14)	(0)	(0)	(0)	(0)	(0)	(1300)	(94)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(1)	01012玄穀国産普通から推計		
01146	1.68	0.42	0.32	0.93	0.07	0.86	-	-	-	-	1	0	-	4	3	-	360	-	3	-	46	4	5	4	0	0	0	4	1	300	280	19	10	3	2	0	0	0	860	66	0	0	1	-	0	0	1	2	0	0	0	0	0	7	-			
01024	(3.47)	(1.54)	(1.07)	(0.86)	(0.04)	(0.82)	(Tr)	(1)	(0)	(14)	(12)	(130)	(0)	(67)	(3)	(0)	(1100)	(0)	(4)	(0)	(200)	(8)	(3)	(1)	(0)	(1)	(0)	(25)	(2)	(1000)	(620)	(11)	(10)	(12)	(0)	(0)	(0)	(0)	(800)	(39)	(1)	(Tr)	(1)	(0)	(2)	(0)	(14)	(0)	(0)	(0)	(0)	(1)	(4)	(3)	(1)	原材料配合割合から推計		
