FN	FIBSOL	FIBINS	FIBTG	FIBSDFS	FIBSDFP	FIBIDF	STARES	FIBTDF	NoticeFIB				
06010	0.3	2.1	2.4	-	-	-	-	-					
06011	0.6	2.0	2.6	0.1	1.6	2.2	Tr	3.9					
06012	0.3	1.1	1.4	-	-	-	-	-					
06013	0.3	1.3	1.6	-	-	-	-	-					
06014	0.3	1.5	1.8	-	-	-	-	-					
06363	0.8	2.5	3.3	-	-	-	-	-					
06015	0.4	4.6	5.0	-	-	-	-	-					
06016	0.5	4.1	4.6	-	-	-	-	-					
06017	1.4	5.9	7.3	-	-	-	-	-					
06018	0.6	1.6	2.2	-	-	-	-	-					
06019	0.2	3.1	3.3	-	-	-	-	-					
06329	0.2	2.0	2.2	-	-	-	-	-					
06330	0.5	3.0	3.5	-	-	-	-	-					
06331	0.5	2.4	3.0	-	-	-	-	-					
06020	0.3	2.7	3.0	-	-	-	-	-					
06021	0.9	2.2	3.1	-	-	-	-	-					
06022	0.3	2.2	2.5	-	-	-	-	-					
06023	0.6	7.1	7.7	-	-	-	-	-					
06024	0.9	7.7	8.6	-	-	-	-	-					
06025	0.6	5.3	5.8	0.8	1.5	7.1	1.2	9.3					
06374	-	-	-	1.0	1.2	8.1	1.6	10.3					
06375	-	-	-	0.9	1.3	7.2	1.5	9.3					
06026	0.8	6.1	6.9	-	-	-	-	-					
06027	0.2	1.6	1.8	-	-	-	-	-					
06028	0.6	1.6	2.2	-	-	-	-	-					
06029	0.2	2.9	3.1	-	-	-	-	-					
06030	0.5	2.0	2.5	-	-	-	-	-					
