FN	FORAC	ACEAC	GLYCLAC	LACAC	GLUCAC	OXALAC	MOLAC	SUCAC	FUMAC	MALAC	TARAC	GLUAKAC	CITAC	SALAC	PCHOUAC	CAFFAC	FERAC	CHLRAC	QUINAC	OROTAC	PYROGAC	PROPAC	OA	NoticeOA
06177	-	-	-	-	-	(0)	-	(Tr)	-	(0.1)	-	-	(0)	-	-	-	-	-	-	-	-	-	(0.2)	06175スイートコーン生から推計
06178	-	-	-	-	-	-	-	Tr	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	0.1	
06378	-	-	-	-	-	-	-	Tr	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	0.1	
06379	-	-	-	-	-	-	-	Tr	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	0.1	
06182	-	0	-	0	-	-	-	-	-	Tr	-	-	0.4	-	-	-	-	-	-	-	-	-	0.4	
06183	-	0	-	0	-	-	-	-	-	Tr	-	-	0.6	-	-	-	-	-	-	-	-	-	0.6	
06370	-	-	-	-	-	-	-	Tr	-	0.5	-	-	3.2	-	-	-	-	-	-	-	-	-	3.6	
06191	-	-	-	-	-	Tr	-	-	-	0.2	-	-	Tr	-	-	0	-	-	0.1	-	-	-	0.4	
06192	-	-	-	-	-	(Tr)	-	-	-	(0.2)	-	-	(0)	-	-	-	-	-	(0.1)	-	-	-	(0.3)	06191なす生から推計
06342	-	-	-	-	-	(Tr)	-	-	-	(0.3)	-	-	(Tr)	-	-	-	-	-	(0.2)	-	-	-	(0.5)	可食部(100g)から脂質量(g)を差し引いた部分について06191なす生から推計
06193	-	-	-	-	-	(Tr)	-	-	-	(0.2)	-	-	(Tr)	-	-	-	-	-	(0.1)	-	-	-	(0.4)	06191なす生から推計
06194	-	-	-	-	-	(Tr)	-	-	-	(0.2)	-	-	(Tr)	-	-	-	-	-	(0.2)	-	-	-	(0.5)	可食部(100g)から脂質量(g)を差し引いた部分について06191なす生から推計
06205	-	-	-	-	-	-	-	-	-	Tr	-	-	0	-	-	-	-	-	-	-	-	-	Tr	
06206	-	-	-	-	-	-	-	-	-	(Tr)	-	-	-	-	-	-	-	-	-	-	-	-	(Tr)	可食部(100g)から脂質量(g)を差し引いた部分について06205にがうり生から推計
06214	-	-	-	-	-	Tr	-	0	Tr	0.2	-	-	Tr	-	0	0	0	-	Tr	-	-	-	0.3	
06215	-	-	-	-	-	0	-	0	Tr	0.2	-	-	Tr	-	-	-	-	-	Tr	-	-	-	0.3	
06345	-	-	-	-	-	(Tr)	-	(Tr)	(Tr)	(0.3)	-	-	(Tr)	-	-	-	-	-	(0.1)	-	-	-	(0.5)	可食部(100g)から脂質量(g)を差し引いた部分について06214皮なし生から推計
06346	-	-	-	-	-	(Tr)	-	(Tr)	(Tr)	(0.4)	-	-	(Tr)	-	-	-	-	-	(0.1)	-	-	-	(0.5)	可食部(100g)から脂質量(g)を差し引いた部分について06214皮なし生から推計
06407	-	-	-	-	-	-	-	-	Tr	0.1	-	-	Tr	-	-	-	-	-	Tr	-	-	-	0.2	
06408	-	-	-	-	-	-	-	-	Tr	0.1	-	-	Tr	-	-	-	-	-	Tr	-	-	-	0.2	
06216	-	-	-	-	-	-	-	-	0	0.2	-	-	Tr	-	-	-	-	-	Tr	-	-	-	0.3	
06380	-	-	-	-	-	-	-	-	0	0.1	-	-	Tr	-	-	-	-	-	Tr	-	-	-	0.2	
06381	-	-	-	-	-	-	-	-	0	0.2	-	-	Tr	-	-	-	-	-	Tr	-	-	-	0.3	
06348	-	-	-	-	-	-	-	-	-	0.2	-	-	Tr	-	-	-	-	-	-	-	-	-	0.2	
06223	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	
06235	-	0.2	-	Tr	-	-	-	-	-	0.1	-	-	0	-	-	-	-	-	-	-	0	-	0.3	
06236	0	0.1	-	Tr	-	0	-	-	-	Tr	-	-	0.1	-	-	-	-	-	-	-	Tr	-	0.3	
06245	-	-	-	-	-	Tr	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.2	
06246	-	-	-	-	-	(Tr)	-	-	-	(0.1)	-	-	(0.1)	-	-	-	-	-	-	-	-	-	(0.2)	可食部(100g)から脂質量(g)を差し引いた部分について06245青ピーマン生から推計
06263	-	-	-	-	-	Tr	-	-	-	0.1	-	-	0.1	-	-	0	3.3	-	-	-	-	-	0.3	
06395	-	-	-	-	-	0	-	-	-	0.1	-	-	0.2	-	-	-	-	-	-	-	-	-	0.4	
06354	-	-	-	-	-	(0)	-	-	-	(Tr)	-	-	(0.1)	-	-	-	(1.4)	-	-	-	-	-	(0.1)	06263ブロッコリー花序生から推計
06267	0	0	-	0	-	0.7	-	0	0	0.1	-	0	Tr	-	0	-	8.5	-	-	-	-	-	0.9	
06355	(0)	(0)	-	(0)	-	(0.7)	-	(0)	(0)	(0.1)	-	(0)	(Tr)	-	(0)	-	(8.5)	-	-	-	-	-	(0.9)	06267ほうれんそう通年平均生から推計
06356	(0)	(0)	-	(0)	-	(0.7)	-	(0)	(0)	(0.1)	-	(0)	(Tr)	-	(0)	-	(8.5)	-	-	-	-	-	(0.9)	06267ほうれんそう通年平均生から推計
06269	-	-	-	-	-	0.5	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.5	
06372	-	-	-	-	-	0.5	-	-	-	Tr	-	-	0	-	-	-	-	-	-	-	-	-	0.6	
06373	-	-	-	-	-	0.6	-	-	-	0.1	-	-	Tr	-	-	-	-	-	-	-	-	-	0.7	
06289	-	-	-	-	-	-	-	-	-	Tr	-	-	0	-	-	-	-	-	-	-	-	-	Tr	
06290	-	-	-	-	-	-	-	-	-	(Tr)	-	-	-	-	-	-	-	-	-	-	-	-	(Tr)	06289ブラックマッペもやし生から推計
06291	-	-	-	-	-	-	-	-	-	Tr	-	-	0	-	-	-	-	-	-	-	-	-	Tr	
06292	-	-	-	-	-	-	-	-	-	(Tr)	-	-	-	-	-	-	-	-	-	-	-	-	(Tr)	06291りょくとうもやし生から推計
06306	-	0.4	-	0.1	-	-	-	-	-	-	-	-	0.2	-	-	-	-	-	-	-	Tr	-	0.6	
06371	-	0.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.5	
07181	-	-	-	-	-	-	-	-	-	Tr	-	-	0.2	-	0	0	8.0	0	-	-	-	-	0.3	添加物としてクエン酸を含む
07012	-	-	-	-	-	0	-	-	-	0.1	0	-	0.7	-	0	-	-	0	0	-	-	-	0.8	
07015	-	-	-	-	-	-	-	-	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	0.1	
07022	-	-	-	-	-	-	-	-	-	0.9	-	-	3.4	-	0	0	1.6	-	-	-	-	-	4.3	
07040	-	-	-	-	-	-	-	-	-	0.1	-	-	0.8	-	Tr	0	8.9	-	-	-	-	-	0.9	
07042	-	-	-	-	-	0	-	0	-	0.1	0	-	0.9	-	-	-	-	-	0	-	-	-	1.1	
07062	-	-	-	-	-	-	-	-	-	Tr	-	-	1.1	-	-	0	5.6	-	-	-	-	-	1.1	
07164	-	-	-	-	-	-	-	-	-	(Tr)	-	-	(1.1)	-	-	(0)	(5.6)	-	-	-	-	-	(1.1)	07062白肉種砂じょう生から推計
07155	-	-	-	-	-	-	-	-	-	0.1	-	-	3.0	-	0	0	6.6	-	-	-	-	-	3.2	
07156	-	-	-	-	-	0	-	0	-	0.2	-	-	6.5	-	-	-	-	-	-	-	-	-	6.7	
07054	-	-	-	-	-	-	-	-	-	0.2	-	-	1.0	-	-	-	-	-	0.8	-	-	-	2.0	
07186	-	-	-	-	-	-	-	-	-	0.5	-	-	2.3	-	-	-	-	0	-	-	-	-	2.8	
07182	-	-	-	-	-	-	-	-	-	0.2	-	-	3.3	-	-	-	-	0	-	-	-	-	3.5	
07097	-	-	-	-	-	0	-	0	-	0.2	0	-	0.6	-	-	-	-	-	0	-	-	-	0.9	<br>
07177	-	-	-	-	-	0	-	0	-	0.3	0	-	0.7	-	-	-	-	-	0	-	-	-	1.0	
07106	-	-	-	-	-	-	-	-	-	0.4	-	-	2.5	-	-	-	-	-	-	-	-	-	2.8	
07107	-	0	-	-	-	-	-	-	-	0.4	-	-	0.3	-	-	-	-	-	-	-	-	-	0.7	
07108	-	-	-	-	-	-	-	-	-	(1.5)	-	-	(1.0)	-	-	-	-	-	-	-	-	-	(2.5)	07107バナナ生から推計。
07116	-	-	-	0	-	0	-	-	-	0.2	0.4	-	Tr	-	-	-	-	0	-	-	-	-	0.6	
07178	-	-	-	-	-	0	-	0	-	0.2	0.4	-	Tr	-	-	-	-	-	0	-	-	-	0.7	
07187	-	-	-	-	-	-	-	-	-	0.2	0.4	-	Tr	-	-	-	-	-	-	-	-	-	0.6	
07117	-	-	-	-	-	-	-	-	-	(0.4)	-	-	-	-	-	-	-	-	(0.8)	-	-	-	(1.2)	豪州成分表から推計
07179	-	-	-	-	-	0	-	0.1	-	0.2	0	-	2.3	-	-	-	-	-	0.3	-	-	-	3.0	
07136	-	-	-	-	-	-	-	-	-	0.3	-	-	0.1	-	-	-	-	2.2	-	-	-	-	0.4	
07184	-	-	-	-	-	-	-	-	-	0.3	-	-	0.1	-	-	-	-	0.6	-	-	-	-	0.4	
07148	-	-	-	-	-	-	-	0	-	0.5	0	-	0	-	-	-	-	-	-	-	-	-	0.5	
07176	-	-	-	-	-	0	-	0	-	0.4	0	-	0	-	-	-	-	-	Tr	-	-	-	0.4	
07180	-	-	-	-	-	0	-	0	-	0.6	0	-	Tr	-	-	-	-	-	Tr	-	-	-	0.6	
08039	-	-	-	-	-	-	-	Tr	Tr	0.2	-	-	0	0	-	-	-	-	-	-	-	-	0.2	
08040	-	-	-	-	-	-	-	(Tr)	(Tr)	(0.1)	-	-	(0)	-	-	-	-	-	-	-	-	-	(0.2)	08039生しいたけ菌床栽培生から推計
08041	-	-	-	-	-	-	-	(Tr)	(Tr)	(0.2)	-	-	(0)	-	-	-	-	-	-	-	-	-	(0.3)	可食部(100g)から脂質量(g)を差し引いた部分について08039生しいたけ菌床栽培生から推計
08057	-	-	-	-	-	-	-	0	0.1	0.1	-	-	Tr	0	-	-	-	-	-	-	-	-	0.2	
08042	-	-	-	-	-	-	-	Tr	Tr	0.2	-	-	0	0	-	-	-	-	-	-	-	-	0.2	
08043	-	-	-	-	-	-	-	(Tr)	(Tr)	(0.2)	-	-	-	-	-	-	-	-	-	-	-	-	(0.2)	08042生しいたけ原木栽培生から推計
08044	-	-	-	-	-	-	-	(Tr)	(Tr)	(0.2)	-	-	-	-	-	-	-	-	-	-	-	-	(0.3)	可食部(100g)から脂質量(g)を差し引いた部分について08042生しいたけ原木栽培生から推計
08013	-	-	-	-	-	-	-	Tr	0.5	1.0	-	-	0.4	0	-	-	-	-	-	-	-	-	1.9	
